Id,IsoCode,Name,CountryId
1,CA-AB,Alberta,1
2,CA-BC,British Columbia,1
3,CA-MB,Manitoba,1
4,CA-NB,New Brunswick,1
5,CA-NL,Newfoundland and Labrador,1
6,CA-NT,Northwest Territories,1
7,CA-YT,Yukon,1
8,CA-NS,Nova Scotia,1
9,CA-NU,Nunavut,1
10,CA-ON,Ontario,1
11,CA-PE,Prince Edward Island,1
12,CA-QC,Quebec,1
13,CA-SK,Saskatchewan,1
14,US-AL,Alabama,2
15,US-AK,Alaska,2
16,US-AZ,Arizona,2
17,US-AR,Arkansas,2
18,US-CA,California,2
19,US-CO,Colorado,2
20,US-CT,Connecticut,2
21,US-DE,Delaware,2
22,US-FL,Florida,2
23,US-GA,Georgia,2
24,US-HI,Hawaii,2
25,US-ID,Idaho,2
26,US-IL,Illinois,2
27,US-IN,Indiana,2
28,US-IA,Iowa,2
29,US-KS,Kansas,2
30,US-KY,Kentucky,2
31,US-LA,Louisiana,2
32,US-ME,Maine,2
33,US-MD,Maryland,2
34,US-MA,Massachusetts,2
35,US-MI,Michigan,2
36,US-MN,Minnesota,2
37,US-MS,Mississippi,2
38,US-MO,Missouri,2
39,US-MT,Montana,2
40,US-NE,Nebraska,2
41,US-NV,Nevada,2
42,US-NH,New Hampshire,2
43,US-NJ,New Jersey,2
44,US-NM,New Mexico,2
45,US-NY,New York,2
46,US-NC,North Carolina,2
47,US-ND,North Dakota,2
48,US-OH,Ohio,2
49,US-OK,Oklahoma,2
50,US-OR,Oregon,2
51,US-PA,Pennsylvania,2
52,US-RI,Rhode Island,2
53,US-SC,South Carolin,2
54,US-SD,South Dakota,2
55,US-TN,Tennessee,2
56,US-TX,Texas,2
57,US-UT,Utah,2
58,US-VT,Vermont,2
59,US-VA,Virginia,2
60,US-WA,Washington,2
61,US-WV,West Virginia,2
62,US-WI,Wisconsin,2
63,US-WY,Wyoming,2
64,MX-AGU,Aguascalientes,3
65,MX-BCN,Baja California,3
66,MX-BCS,Baja California Sur,3
67,MX-CAM,Campeche,3
68,MX-CHP,Chiapas,3
69,MX-CHH,Chihuahua,3
70,MX-COA,Coahuila de Zaragoza	Coahuila,3
71,MX-COL,Colima,3
72,MX-DUR,Durango,3
73,MX-GUA,Guanajuato,3
74,MX-GRO,Guerrero,3
75,MX-HID,Hidalgo,3
76,MX-JAL,Jalisco,3
77,MX-MIC,Michoacán de Ocampo	Michoacán,3
78,MX-MOR,Morelos,3
79,MX-MEX,México,3
80,MX-NAY,Nayarit,3
81,MX-NLE,Nuevo León,3
82,MX-OAX,Oaxaca,3
83,MX-PUE,Puebla,3
84,MX-QUE,Querétaro,3
85,MX-ROO,Quintana Roo,3
86,MX-SLP,San Luis Potosí,3
87,MX-SIN,Sinaloa,3
88,MX-SON,Sonora,3
89,MX-TAB,Tabasco,3
90,MX-TAM,Tamaulipas,3
91,MX-TLA,Tlaxcala,4
92,MX-VER,Veracruz,3
93,MX-YUC,Yucatán,3
94,MX-ZAC,Zacateca,3
95,BZ-BZ,Belize,4
96,BZ-CY,Cayo,4
97,BZ-CZL,Corozal,4
98,BZ-OW,Orange Walk,4
99,BZ-SC,Stann Creek,4
100,BZ-TOL,Toledo,4
101,CR-A,Alajuela,5
102,CR-C,Cartago,5
103,CR-G,Guanacaste,5
104,CR-H,Heredia,5
105,CR-L,Limón,5
106,CR-P,Puntarenas,5
107,CR-SJ,San José,5
109,SV-AH,Ahuachapán,6
110,SV-CA,Cabañas,6
111,SV-CH,Chalatenango,6
112,SV-CU,Cuscatlá,6
113,SV-LI,La Libertad,6
114,SV-PA,La Paz,6
115,SV-UN,La Unión,6
116,SV-MO,Morazán,6
117,SV-SM,San Miguel,6
118,SV-SS,San Salvador,6
119,SV-SV,San Vicente,6
120,SV-SA,Santa Ana,6
121,SV-SO,Sonsonate,6
122,SV-US,Usulután,6
123,GT-16,Alta Verapaz,7
124,GT-15,Baja Verapaz,7
125,GT-04,Chimaltenango,7
126,GT-20,Chiquimula,7
127,GT-02,El Progreso,7
128,GT-05,Escuintla,7
129,GT-01,Guatemala,7
130,GT-13,Huehuetenango,7
131,GT-18,Izabal,7
132,GT-21,Jalapa,7
133,GT-22,Jutiapa,7
134,GT-17,Petén,7
135,GT-09,Quetzaltenango,7
136,GT-14,Quiché,7
137,GT-11,Retalhuleu,7
138,GT-03,Sacatepéquez,7
139,GT-12,San Marcos,7
140,GT-06,Santa Rosa,7
141,GT-07,Sololá,7
142,GT-10,Suchitepéquez,7
143,GT-08,Totonicapán,7
144,GT-19,Zacapa,7
145,HN-AT,Atlántida,8
146,HN-CH,Choluteca,8
147,HN-CL,Colón,8
148,HN-CM,Comayagua,8
149,HN-CP,Copán,8
150,HN-CR,Cortés,8
151,HN-EP,El Paraíso,8
152,HN-FM,Francisco Morazán,8
153,HN-GD,Gracias a Dios,8
154,HN-IN,Intibucá,8
155,HN-IB,Islas de la Bahía,8
156,HN-LP,La Paz,8
157,HN-LE,Lempira,8
158,HN-OC,Ocotepeque,8
159,HN-OL,Olancho,8
160,HN-SB,Santa Bárbara,8
161,HN-VA,Valle,8
162,HN-YO,Yoro,8
163,NI-AN,Costa Caribe Norte,9
164,NI-AS,Costa Caribe Sur,9
165,NI-BO,Boaco,9
166,NI-CA,Carazo,9
167,NI-CI,Chinandega,9
168,NI-CO,Chontales,9
169,NI-ES,Estelí,9
170,NI-GR,Granada,9
171,NI-JI,Jinotega,9
172,NI-LE,León,9
173,NI-MD,Madriz,9
174,NI-MN,Managua,9
175,NI-MS,Masaya,9
176,NI-MT,Matagalpa,9
177,NI-NS,Nueva Segovia,9
178,NI-RI,Rivas,9
179,NI-SJ,Río San Juan,9
180,PA-1,Bocas del Toro,10
181,PA-4,Chiriquí,10
182,PA-2,Coclé,10
183,PA-3,Colón,10
184,PA-5,Darién,10
185,PA-EM,Emberá,10
186,PA-KY,Guna Yala	Kuna Yala,10
187,PA-6,Herrera,10
188,PA-7,Los Santos,10
189,PA-NT,Naso Tjër Di,10
190,PA-NB,Ngäbe-Buglé,10
191,PA-8,Panamá,10
192,PA-10,Panamá Oeste,10
193,PA-9,Veraguas,10
194,AR-C,Ciudad Autónoma de Buenos Aires,11
195,AR-B,Buenos Aires,11
196,AR-K,Catamarca,11
197,AR-H,Chaco,11
198,AR-U,Chubut,11
199,AR-W,Corrientes,11
200,AR-X,Córdoba,11
201,AR-E,Entre Ríos,11
202,AR-P,Formosa,11
203,AR-Y,Jujuy,11
204,AR-L,La Pampa,11
205,AR-F,La Rioja,11
